유형,날짜,상품수,카테고리,평균순위,최고순위,기록일,가격,할인율,상품명,링크
일별통계,01,8,,,,,,,,
일별통계,02,22,,,,,,,,
일별통계,03,21,,,,,,,,
일별통계,04,10,,,,,,,,
일별통계,05,19,,,,,,,,
일별통계,06,31,,,,,,,,
카테고리통계,,24,의류 > 아우터,93.5,10,,,,,
카테고리통계,,15,의류 > 전체,82.0,13,,,,,
카테고리통계,,14,전체 > 전체,101.9,22,,,,,
카테고리통계,,12,의류 > 셔츠,112.9,29,,,,,
카테고리통계,,12,가방 > 숄더백,97.2,19,,,,,
카테고리통계,,10,의류 > 스커트,63.1,9,,,,,
카테고리통계,,6,의류 > 원피스,152.0,86,,,,,
카테고리통계,,5,가방 > 전체,65.6,27,,,,,
카테고리통계,,5,의류 > 데님,128.2,41,,,,,
카테고리통계,,3,의류 > 블라우스,92.7,43,,,,,
카테고리통계,,2,의류 > 니트,102.5,63,,,,,
카테고리통계,,1,의류 > 티셔츠,136.0,136,,,,,
카테고리통계,,1,액세서리 > 스카프/머플러,130.0,130,,,,,
카테고리통계,,1,의류 > 팬츠,163.0,163,,,,,
TOP1,,,스커트,,9,2025-11-04,75544,0%,(11차 리오더) VINTAGE SILK LIKE CODUROY LONG SKIRT [BROWN][BLACK],./04/일일_요약_251104_082145.md
TOP2,,,아우터,,10,2025-11-05,224511,0%,[채랑 PICK] [단독기획] FOX FUR BELTED GOOSE DOWN [3COLORS],./05/일일_요약_251105_082141.md
TOP3,,,아우터,,16,2025-11-06,121553,0%,(5차 리오더) CASHMERE COLLAR LIGHT DOWN JACKET [IVORY][BLACK],./06/일일_요약_251106_082200.md
TOP4,,,숄더백,,19,2025-11-02,85360,0%,[채랑 PICK] VINTAGE VELVET TWIST STRAP MINI BAG [DARK BROWN],./02/일일_요약_251102_082007.md
TOP5,,,숄더백,,24,2025-11-06,74434,0%,TWIST STRAP LEATHER BIG BAG [BLACK],./06/일일_요약_251106_082200.md
TOP6,,,셔츠,,29,2025-11-04,99103,0%,[채랑 PICK] OVERSIZE STANDARD STRIPE SHIRT [IVORY][PINK],./04/일일_요약_251104_082145.md
TOP7,,,숄더백,,30,2025-11-06,58728,0%,CRESCENT MOON BAG [5COLORS],./06/일일_요약_251106_082200.md
TOP8,,,셔츠,,36,2025-11-01,81263,0%,[여름 PICK] (3차 리오더) BLUE STRIPE COTTON SHIRT [BLUE],./01/일일_요약_251101_082057.md
TOP9,,,데님,,41,2025-11-06,29022,0%,SLIM STRAIGHT FIT DENIM PANTS [BLUE][BLACK],./06/일일_요약_251106_082200.md
TOP10,,,블라우스,,43,2025-11-02,74434,0%,SILKY TIE DETAIL BLOUSE [IVORY][BLACK],./02/일일_요약_251102_082007.md
